OS Benchmark experiment
Test Name:,4.13.12-configured,
       ref          kbest:,0.000000021,
       ref        average:,0.000000036,
       cpu          kbest:,0.003149368,
       cpu        average:,0.003151196,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000083,
context siwtch          kbest:,0.000002777,
context siwtch        average:,0.000002901,
      send          kbest:,0.000000278,
      send        average:,0.000000916,
      recv          kbest:,0.000000563,
      recv        average:,0.000001020,
  big send          kbest:,0.000013024,
  big send        average:,0.000016528,
  big recv          kbest:,0.000017527,
  big recv        average:,0.000029892,
      fork          kbest:,0.000068502,
      fork       average:,0.000157464,
      fork    Child kbest:,0.000090972,
      fork Child average:,0.000217892,
thr create          kbest:,0.000007988,
thr create       average:,0.000013460,
thr create    Child kbest:,0.000010547,
thr create Child average:,0.000020819,
  big fork          kbest:,0.001248499,
  big fork       average:,0.002567809,
  big fork    Child kbest:,0.001278830,
  big fork Child average:,0.002668989,
 huge fork          kbest:,0.002152534,
 huge fork       average:,0.004483545,
 huge fork    Child kbest:,0.002288016,
 huge fork Child average:,0.004590937,
small write          kbest:,0.000000525,
small write        average:,0.000000657,
small read          kbest:,0.000000260,
small read        average:,0.000000447,
small mmap          kbest:,0.000000340,
small mmap        average:,0.000000374,
small munmap          kbest:,0.000000750,
small munmap        average:,0.000000779,
small page fault          kbest:,0.000000500,
small page fault        average:,0.000000515,
 mid write          kbest:,0.000005232,
 mid write        average:,0.000005345,
  mid read          kbest:,0.000002268,
  mid read        average:,0.000002928,
  mid mmap          kbest:,0.000000334,
  mid mmap        average:,0.000000348,
mid munmap          kbest:,0.000002796,
mid munmap        average:,0.000002902,
mid page fault          kbest:,0.000000954,
mid page fault        average:,0.000000972,
 big write          kbest:,0.000607553,
 big write        average:,0.000650196,
  big read          kbest:,0.000318271,
  big read        average:,0.000319939,
  big mmap          kbest:,0.000000356,
  big mmap        average:,0.000000371,
big munmap          kbest:,0.000111621,
big munmap        average:,0.000112440,
big page fault          kbest:,0.000001404,
big page fault        average:,0.000001476,
huge write          kbest:,0.013610166,
huge write        average:,0.014200733,
 huge read          kbest:,0.019403007,
 huge read        average:,0.019998971,
 huge mmap          kbest:,0.000000347,
 huge mmap        average:,0.000000362,
huge munmap          kbest:,0.001193747,
huge munmap        average:,0.001227156,
huge page fault          kbest:,0.000001422,
huge page fault        average:,0.000001472,
    select          kbest:,0.000000470,
    select        average:,0.000000609,
      poll          kbest:,0.000000380,
      poll        average:,0.000000571,
     epoll          kbest:,0.000000366,
     epoll        average:,0.000000408,
select big          kbest:,0.000045578,
select big        average:,0.000049918,
  poll big          kbest:,0.000046662,
  poll big        average:,0.000050441,
 epoll big          kbest:,0.000045609,
 epoll big        average:,0.000049632,
