OS Benchmark experiment
Test Name:,4.13.12-patched,
       ref          kbest:,0.000000021,
       ref        average:,0.000000036,
       cpu          kbest:,0.003149371,
       cpu        average:,0.003151421,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000083,
context siwtch          kbest:,0.000002681,
context siwtch        average:,0.000003480,
      send          kbest:,0.000000283,
      send        average:,0.000001063,
      recv          kbest:,0.000000563,
      recv        average:,0.000001188,
  big send          kbest:,0.000009974,
  big send        average:,0.000016316,
  big recv          kbest:,0.000019151,
  big recv        average:,0.000030269,
      fork          kbest:,0.000071780,
      fork       average:,0.000169206,
      fork    Child kbest:,0.000094098,
      fork Child average:,0.000222129,
thr create          kbest:,0.000008615,
thr create       average:,0.000014039,
thr create    Child kbest:,0.000011124,
thr create Child average:,0.000020527,
  big fork          kbest:,0.001377814,
  big fork       average:,0.003252473,
  big fork    Child kbest:,0.001402949,
  big fork Child average:,0.003352784,
 huge fork          kbest:,0.002838345,
 huge fork       average:,0.005892931,
 huge fork    Child kbest:,0.003039404,
 huge fork Child average:,0.005995535,
small write          kbest:,0.000000531,
small write        average:,0.000000650,
small read          kbest:,0.000000243,
small read        average:,0.000000412,
small mmap          kbest:,0.000000347,
small mmap        average:,0.000000356,
small munmap          kbest:,0.000000733,
small munmap        average:,0.000000757,
small page fault          kbest:,0.000000504,
small page fault        average:,0.000000515,
 mid write          kbest:,0.000005188,
 mid write        average:,0.000005394,
  mid read          kbest:,0.000002222,
  mid read        average:,0.000002881,
  mid mmap          kbest:,0.000000341,
  mid mmap        average:,0.000000352,
mid munmap          kbest:,0.000002710,
mid munmap        average:,0.000002793,
mid page fault          kbest:,0.000000509,
mid page fault        average:,0.000000524,
 big write          kbest:,0.000596579,
 big write        average:,0.000652995,
  big read          kbest:,0.000318503,
  big read        average:,0.000320538,
  big mmap          kbest:,0.000000340,
  big mmap        average:,0.000000364,
big munmap          kbest:,0.000111861,
big munmap        average:,0.000112665,
big page fault          kbest:,0.000000691,
big page fault        average:,0.000000731,
huge write          kbest:,0.013559116,
huge write        average:,0.014464312,
 huge read          kbest:,0.018927468,
 huge read        average:,0.019104545,
 huge mmap          kbest:,0.000000330,
 huge mmap        average:,0.000000339,
huge munmap          kbest:,0.001119839,
huge munmap        average:,0.001143138,
huge page fault          kbest:,0.000000682,
huge page fault        average:,0.000000708,
    select          kbest:,0.000000484,
    select        average:,0.000000562,
      poll          kbest:,0.000000364,
      poll        average:,0.000000430,
     epoll          kbest:,0.000000382,
     epoll        average:,0.000000450,
select big          kbest:,0.000063635,
select big        average:,0.000079580,
  poll big          kbest:,0.000062930,
  poll big        average:,0.000074200,
 epoll big          kbest:,0.000060584,
 epoll big        average:,0.000067422,
