OS Benchmark experiment
Test Name:,4.15.15-unmodified,
       ref          kbest:,0.000000021,
       ref        average:,0.000000024,
       cpu          kbest:,0.002481320,
       cpu        average:,0.002482960,
    getpid          kbest:,0.000000224,
    getpid        average:,0.000000229,
context siwtch          kbest:,0.000004150,
context siwtch        average:,0.000004216,
      send          kbest:,0.000000838,
      send        average:,0.000001559,
      recv          kbest:,0.000000744,
      recv        average:,0.000001654,
  big send          kbest:,0.000010191,
  big send        average:,0.000018389,
  big recv          kbest:,0.000015387,
  big recv        average:,0.000025222,
      fork          kbest:,0.000104469,
      fork       average:,0.000190442,
      fork    Child kbest:,0.000172782,
      fork Child average:,0.000274131,
thr create          kbest:,0.000010953,
thr create       average:,0.000022738,
thr create    Child kbest:,0.000018480,
thr create Child average:,0.000039264,
  big fork          kbest:,0.001698766,
  big fork       average:,0.002709394,
  big fork    Child kbest:,0.001773390,
  big fork Child average:,0.002812871,
 huge fork          kbest:,0.003293802,
 huge fork       average:,0.005179124,
 huge fork    Child kbest:,0.003342671,
 huge fork Child average:,0.005287663,
small write          kbest:,0.000000778,
small write        average:,0.000000841,
small read          kbest:,0.000000455,
small read        average:,0.000000492,
small mmap          kbest:,0.000000617,
small mmap        average:,0.000000641,
small munmap          kbest:,0.000001122,
small munmap        average:,0.000001163,
small page fault          kbest:,0.000000686,
small page fault        average:,0.000000693,
 mid write          kbest:,0.000005609,
 mid write        average:,0.000005747,
  mid read          kbest:,0.000002431,
  mid read        average:,0.000002569,
  mid mmap          kbest:,0.000000602,
  mid mmap        average:,0.000000637,
mid munmap          kbest:,0.000004143,
mid munmap        average:,0.000004272,
mid page fault          kbest:,0.000001134,
mid page fault        average:,0.000001161,
 big write          kbest:,0.000622474,
 big write        average:,0.000629368,
  big read          kbest:,0.000312235,
  big read        average:,0.000314458,
  big mmap          kbest:,0.000000606,
  big mmap        average:,0.000000630,
big munmap          kbest:,0.000102449,
big munmap        average:,0.000103039,
big page fault          kbest:,0.000001703,
big page fault        average:,0.000001762,
huge write          kbest:,0.014020022,
huge write        average:,0.014389788,
 huge read          kbest:,0.019310926,
 huge read        average:,0.020528936,
 huge mmap          kbest:,0.000000599,
 huge mmap        average:,0.000000640,
huge munmap          kbest:,0.001328884,
huge munmap        average:,0.001369112,
huge page fault          kbest:,0.000001701,
huge page fault        average:,0.000001762,
    select          kbest:,0.000001042,
    select        average:,0.000001166,
      poll          kbest:,0.000000946,
      poll        average:,0.000001093,
     epoll          kbest:,0.000000899,
     epoll        average:,0.000000980,
select big          kbest:,0.000095896,
select big        average:,0.000104553,
  poll big          kbest:,0.000095946,
  poll big        average:,0.000106363,
 epoll big          kbest:,0.000095774,
 epoll big        average:,0.000112021,
