OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000027,
       ref        average:,0.000000031,
       cpu          kbest:,0.006381967,
       cpu        average:,0.006446232,
    getpid          kbest:,0.000000349,
    getpid        average:,0.000000360,
context siwtch          kbest:,0.000006546,
context siwtch        average:,0.000007582,
      send          kbest:,0.000000706,
      send        average:,0.000001430,
      recv          kbest:,0.000000825,
      recv        average:,0.000001690,
  big send          kbest:,0.000007883,
  big send        average:,0.000018951,
  big recv          kbest:,0.000017538,
  big recv        average:,0.000019536,
      fork          kbest:,0.000154018,
      fork       average:,0.000176656,
      fork    Child kbest:,0.000196679,
      fork Child average:,0.000228588,
thr create          kbest:,0.000013486,
thr create       average:,0.000018135,
thr create    Child kbest:,0.000018978,
thr create Child average:,0.000025120,
  big fork          kbest:,0.002016475,
  big fork       average:,0.002401415,
  big fork    Child kbest:,0.001991962,
  big fork Child average:,0.002492436,
 huge fork          kbest:,0.004254787,
 huge fork       average:,0.005498536,
 huge fork    Child kbest:,0.004351330,
 huge fork Child average:,0.005594790,
small write          kbest:,0.000001332,
small write        average:,0.000001369,
small read          kbest:,0.000000628,
small read        average:,0.000000752,
small mmap          kbest:,0.000000724,
small mmap        average:,0.000000809,
small munmap          kbest:,0.000001394,
small munmap        average:,0.000001506,
small page fault          kbest:,0.000001175,
small page fault        average:,0.000001215,
 mid write          kbest:,0.000007415,
 mid write        average:,0.000008553,
  mid read          kbest:,0.000003723,
  mid read        average:,0.000004002,
  mid mmap          kbest:,0.000000795,
  mid mmap        average:,0.000000830,
mid munmap          kbest:,0.000006234,
mid munmap        average:,0.000006354,
mid page fault          kbest:,0.000001932,
mid page fault        average:,0.000001979,
 big write          kbest:,0.000941133,
 big write        average:,0.000951328,
  big read          kbest:,0.000525102,
  big read        average:,0.000529195,
  big mmap          kbest:,0.000000842,
  big mmap        average:,0.000000879,
big munmap          kbest:,0.000149420,
big munmap        average:,0.000150506,
big page fault          kbest:,0.000002780,
big page fault        average:,0.000003074,
huge write          kbest:,0.014740115,
huge write        average:,0.018878150,
 huge read          kbest:,0.021724416,
 huge read        average:,0.023604955,
 huge mmap          kbest:,0.000000847,
 huge mmap        average:,0.000000886,
huge munmap          kbest:,0.001910485,
huge munmap        average:,0.003422554,
huge page fault          kbest:,0.000002845,
huge page fault        average:,0.000003774,
    select          kbest:,0.000001424,
    select        average:,0.000002403,
      poll          kbest:,0.000001571,
      poll        average:,0.000002332,
     epoll          kbest:,0.000001599,
     epoll        average:,0.000002541,
select big          kbest:,0.000117846,
select big        average:,0.000149566,
  poll big          kbest:,0.000123493,
  poll big        average:,0.000146392,
 epoll big          kbest:,0.000153860,
 epoll big        average:,0.000206566,
